EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,2403,2026-04-01 00:00:00,GMADA,1110104000,5,50087,A,2389,131,,,,,,,,-6000000.0,N,S,2026-03-31 00:00:00,2026-04-01 00:00:00,ERROR,2,COPRES,2026-04-01 00:00:00,N,ADMI,,N,2026,,N
2026,1514,2026-02-27 00:00:00,GMADA,1110102000,2,2334,R,1514,110,,,,,,,,724301.0,D,S,2026-02-27 00:00:00,,,1,Reg.Comp. 7885/2025 soporte,2026-02-27 00:00:00,N,GOBHAC,2026-02-27 00:00:00,N,,,N
2026,1515,2026-02-27 00:00:00,GMADA,1110102000,2,2334,R,1515,110,,,,,,,,676419.0,D,S,2026-02-27 00:00:00,,,1,Reg.Comp. 5510/2025 soporte técnico,2026-02-27 00:00:00,N,GOBHAC,2026-02-27 00:00:00,N,,,N
2026,2415,2026-04-01 00:00:00,GMADA,1110118000,25,1514,A,2414,132,1,1197,1,1263,,,,-17160000.0,N,S,2026-04-01 00:00:00,2026-04-01 00:00:00,ERROR,1,gasoil,2026-04-01 00:00:00,N,000SU,,N,2026,,N
2026,2404,2026-04-01 00:00:00,GMADA,1110103000,3,1555,R,2404,132,,,,,EXPED,3292,2022,19791976.48,D,S,2026-04-01 00:00:00,,,1,Reg.Comp. 299/2025 contruccion,2026-04-01 00:00:00,N,OPP,,N,,,N
2026,2405,2026-04-01 00:00:00,GMADA,1110105000,6,2991,R,2405,110,1,1195,1,1257,,,,300000.0,D,S,2026-04-01 00:00:00,,,1,sonido,2026-04-01 00:00:00,N,TURIS,2026-04-01 00:00:00,N,2026,,N
2026,2406,2026-04-01 00:00:00,GMADA,1110105000,6,2259,R,2406,110,1,1194,1,1258,,,,200000.0,N,S,2026-04-01 00:00:00,,,1,alimentos,2026-04-01 00:00:00,N,TURIS,2026-04-01 00:00:00,N,2026,,N
2026,2407,2026-04-01 00:00:00,GMADA,1110106000,7,50087,R,2407,132,,,,,,,,300000.0,D,S,2026-04-01 00:00:00,,,2,copres,2026-04-01 00:00:00,N,ACCSOC,,N,2026,,N
2026,2408,2026-04-01 00:00:00,GMADA,1110113000,20,50087,R,2408,131,,,,,,,,6000000.0,D,S,2026-04-01 00:00:00,,,2,copres,2026-04-01 00:00:00,N,SECSEG,,N,2026,,N
2026,2409,2026-04-01 00:00:00,GMADA,1110102000,2,50087,R,2409,110,,,,,,,,167360.0,D,S,2026-04-01 00:00:00,,,2,comisiones,2026-04-01 00:00:00,N,ADFIN,,N,2026,,N
2026,2411,2026-04-01 00:00:00,GMADA,1110105000,6,2969,R,2411,110,1,1199,1,1261,,,,2420000.0,D,S,2026-04-01 00:00:00,,,2,serv publicidad,2026-04-01 00:00:00,N,TURIS,2026-04-01 00:00:00,N,2026,,N
2026,2413,2026-04-01 00:00:00,GMADA,1110118000,25,1514,R,2413,132,1,1198,1,1262,,,,4290000.0,A,S,2026-04-01 00:00:00,2026-04-01 00:00:00,ERROR,2,combust,2026-04-01 00:00:00,N,BARU,,N,2026,,N
2026,2414,2026-04-01 00:00:00,GMADA,1110118000,25,1514,R,2414,132,1,1197,1,1263,,,,17160000.0,A,S,2026-04-01 00:00:00,2026-04-01 00:00:00,ERROR,1,gasoil,2026-04-01 00:00:00,N,000SU,,N,2026,,N
2026,2417,2026-04-01 00:00:00,GMADA,1110118000,25,1514,A,2413,132,1,1198,1,1262,,,,-4290000.0,N,S,2026-04-01 00:00:00,2026-04-01 00:00:00,ERROR,2,combust,2026-04-01 00:00:00,N,BARU,,N,2026,,N
2026,2416,2026-04-01 00:00:00,GMADA,1110118000,25,1514,R,2416,132,1,1197,1,1263,,,,17160000.0,D,S,2026-04-01 00:00:00,,,1,gasoil,2026-04-01 00:00:00,N,000SU,2026-04-01 00:00:00,N,2026,,N
2026,4687,2026-06-29 00:00:00,GMADA,1110101000,1,50008,R,4687,110,,,,,,,,8739102.61,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,INT,,,,,
2026,2418,2026-04-01 00:00:00,GMADA,1110118000,25,1514,R,2418,132,1,1198,1,1262,,,,4290000.0,D,S,2026-04-01 00:00:00,,,1,gasoil,2026-04-01 00:00:00,N,BARU,2026-04-01 00:00:00,N,2026,,N
2026,2419,2026-04-01 00:00:00,GMADA,1110111000,3,1514,R,2419,131,1,1196,1,1260,,,,10725000.0,D,S,2026-04-01 00:00:00,,,1,gasoil,2026-04-01 00:00:00,N,CAS,2026-04-01 00:00:00,N,2026,,N
2026,3698,2026-05-22 00:00:00,GMADA,1110101000,1,791,R,3698,110,1,1909,1,1985,,,,945000.0,D,S,2026-05-22 00:00:00,,,1,cubierta,2026-05-22 00:00:00,N,INT,2026-05-22 00:00:00,N,2026,,N
2026,3699,2026-05-22 00:00:00,GMADA,1110106000,7,3514,R,3699,131,1,1904,1,1980,EXPED,604,2026,135119.6,D,S,2026-05-22 00:00:00,,,1,servs,2026-05-22 00:00:00,N,ACCSOC,2026-05-22 00:00:00,N,2026,,N
2026,3700,2026-05-22 00:00:00,GMADA,1110106000,7,3454,R,3700,131,1,1905,1,1979,EXPED,441,2026,101071.76,D,S,2026-05-22 00:00:00,,,1,servs,2026-05-22 00:00:00,N,ACCSOC,2026-05-22 00:00:00,N,2026,,N
2026,3701,2026-05-22 00:00:00,GMADA,1110118000,25,332,R,3701,110,1,1907,1,1982,EXPED,1242,2026,7972023.77,D,S,2026-05-22 00:00:00,,,1,arena,2026-05-22 00:00:00,N,MEAM,2026-05-22 00:00:00,N,2026,,N
2026,4686,2026-06-29 00:00:00,GMADA,1110102000,2,50010,R,4686,110,,,,,,,,55194.0,D,S,2026-06-29 00:00:00,,,2,aranceles verificacion,2026-06-29 00:00:00,N,ADFIN,,N,2026,,N
2026,4688,2026-06-29 00:00:00,GMADA,1110101000,1,50051,R,4688,110,,,,,,,,957881.25,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,INT,,,,,
2026,4689,2026-06-29 00:00:00,GMADA,1110101000,1,50052,R,4689,110,,,,,,,,383152.5,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,INT,,,,,
2026,4690,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4690,110,,,,,,,,5050993.0,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOB,,,,,
2026,4691,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4691,110,,,,,,,,24769914.23,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOBHAC,,,,,
2026,4692,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4692,110,,,,,,,,1041936.51,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,ARCHG,,,,,
2026,4693,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4693,110,,,,,,,,6686280.35,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DELRU,,,,,
2026,4694,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4694,110,,,,,,,,4259410.63,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,AREAJ,,,,,
2026,4695,2026-06-29 00:00:00,GMADA,1110102000,2,50008,R,4695,110,,,,,,,,1352935.68,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DMACED,,,,,
2026,4696,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4696,110,,,,,,,,115488.0,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DMACED,,,,,
2026,4697,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4697,110,,,,,,,,462021.3,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,AREAJ,,,,,
2026,4698,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4698,110,,,,,,,,529073.75,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOB,,,,,
2026,4699,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4699,110,,,,,,,,2469496.6,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOBHAC,,,,,
2026,4700,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4700,110,,,,,,,,107878.42,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,ARCHG,,,,,
2026,4701,2026-06-29 00:00:00,GMADA,1110102000,2,50051,R,4701,110,,,,,,,,718331.08,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DELRU,,,,,
2026,4702,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4702,110,,,,,,,,211629.5,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOB,,,,,
2026,4703,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4703,110,,,,,,,,1016615.93,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,GOBHAC,,,,,
2026,4704,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4704,110,,,,,,,,184808.52,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,AREAJ,,,,,
2026,4705,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4705,110,,,,,,,,46195.2,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DMACED,,,,,
2026,4706,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4706,110,,,,,,,,287332.43,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,DELRU,,,,,
2026,4707,2026-06-29 00:00:00,GMADA,1110102000,2,50052,R,4707,110,,,,,,,,43151.37,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,ARCHG,,,,,
2026,4708,2026-06-29 00:00:00,GMADA,1110103000,3,50008,R,4708,110,,,,,,,,2470103.31,D,S,2026-06-29 00:00:00,,,1,Generado Automáticamente - Periodo 6/2026 - Tipo/Grupo 9/1,2026-06-29 00:00:00,N,SECOPU,,,,,
