EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,213,2026-01-13 00:00:00,GMADA,1110104000,5,167,R,213,131,1,90,1,79,,,,277650.0,D,S,2026-01-13 00:00:00,,,1,pollo,2026-01-13 00:00:00,N,HOGANC,2026-01-13 00:00:00,N,2026,,N
2026,214,2026-01-13 00:00:00,GMADA,1110108000,14,33,R,214,110,1,108,1,109,,,,477746.0,D,S,2026-01-13 00:00:00,,,1,seguro,2026-01-13 00:00:00,N,PROD,2026-01-13 00:00:00,N,2026,,N
2026,215,2026-01-13 00:00:00,GMADA,1110104000,5,50031,R,215,110,,,,,,,,60000.0,D,S,2026-01-13 00:00:00,,,1,ayuda econ LUCIANO LARRAULE (BRUNO /ENERO),2026-01-13 00:00:00,N,ADMI,2026-01-13 00:00:00,N,2026,,N
2026,219,2026-01-13 00:00:00,GMADA,1110117000,24,50072,R,219,110,,,,,,,,457907.38,D,S,2026-01-13 00:00:00,,,2,GASTOS MUNIC C/CHACRAS DE PINAMAR S.A.,2026-01-13 00:00:00,N,000002,,N,2026,,N
2026,222,2026-01-13 00:00:00,GMADA,1110117000,24,51093,R,222,110,,,,,EXPED,3747,2025,571675.0,D,S,2026-01-13 00:00:00,,,2,honorarios Santiago Durante,2026-01-13 00:00:00,N,000002,,N,2026,,N
2026,1547,2026-02-27 00:00:00,GMADA,1110103000,3,50051,R,1547,110,,,,,,,,244266.73,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,SECOPU,,,,,
2026,1548,2026-02-27 00:00:00,GMADA,1110103000,3,50052,R,1548,110,,,,,,,,803244.63,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,SECOP,,,,,
2026,1549,2026-02-27 00:00:00,GMADA,1110103000,3,50052,R,1549,110,,,,,,,,97706.69,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,SECOPU,,,,,
2026,1550,2026-02-27 00:00:00,GMADA,1110104000,5,50008,R,1550,110,,,,,,,,697842673.0,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,HOSP,,,,,
2026,1551,2026-02-27 00:00:00,GMADA,1110104000,5,50008,R,1551,110,,,,,,,,2649820.03,D,S,2026-02-27 00:00:00,,,1,Generado Automáticamente - Periodo 2/2026 - Tipo/Grupo 9/1,2026-02-27 00:00:00,N,CAP,,,,,
