EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2026,1097,1,590761.25,111210129
2026,1488,1,49568.24,111210129
2026,1936,1,465530.62,111210129
2026,1313,1,186439.4,111210129
2026,711,1,147750253.34,111210129
2026,3,1,153670.45,111210129
2026,2405,1,161789412.93,111210129
2026,536,1,186796.8,111210129
2026,2161,1,60018622.27,111210129
2026,203,1,1030500.9,111210129
2026,997,1,292080.6,111210129
2026,1887,1,157790618.44,111210129
2026,1982,1,205167.08,111210129
2026,1461,1,156165212.66,111210129
2026,361,1,151690944.09,111210129
2026,2698,1,152307.12,111210129
2026,400,1,80345.65,111210129
2026,1057,1,147603154.33,111210129
2026,1795,1,883770.16,111210129
2026,598,1,278049.8,111210129
2026,881,1,332500.0,111210129
2026,2235,1,114198.08,111210129
2026,1097,2,197441.71,111210129
2026,1488,2,16994.83,111210129
2026,1936,2,159610.5,111210129
2026,1313,2,63922.08,111210129
2026,711,2,52821395.74,111210129
2026,3,2,52687.01,111210129
2026,2405,2,57666123.11,111210129
2026,536,2,56039.04,111210129
2026,2161,2,20919947.49,111210129
2026,203,2,350994.14,111210129
2026,997,2,100141.92,111210129
2026,1887,2,56252234.0,111210129
2026,1982,2,69551.12,111210129
2026,1461,2,55821451.63,111210129
2026,361,2,53897681.01,111210129
2026,2698,2,52219.59,111210129
2026,400,2,27547.08,111210129
2026,1057,2,52738881.33,111210129
2026,1795,2,303006.91,111210129
2026,598,2,95331.36,111210129
2026,881,2,114000.0,111210129
2026,2235,2,39153.61,111210129
2026,620,3,81606.6,111210131
2026,1333,3,6783.14,111220900
2026,602,3,9112.61,111221500
2026,2113,3,7562.64,111210131
2026,2184,3,2799.83,111221500
2026,2185,3,17706.36,111210132
2026,2420,3,45587.8,111210131
2026,2421,3,68999.94,111210131
2026,353,3,2856.0,111220100
2026,351,3,7400.0,111210129
2026,359,3,13906.99,111220900
2026,365,3,8600.0,111221500
2026,367,3,184151.54,111210127
2026,786,3,308847.67,111210131
2026,2505,3,299855.08,111210131
2026,2509,3,46158.58,111210131
2026,2510,3,158053.65,111210131
2026,408,3,39719.01,111210131
2026,714,3,181289.82,111210131
2026,2456,3,115416.03,111210131
2026,2457,3,74787.27,111210131
2026,2496,3,102600.16,111210131
2026,653,3,4486.02,111210129
2026,656,3,389582.62,111221700
2026,733,3,19680.0,111210129
2026,1362,3,19705.12,111210131
2026,1363,3,58104.39,111210131
2026,1622,3,4972.38,111210129
2026,2691,3,102710.08,111210131
2026,2692,3,12141.97,111210131
2026,2693,3,39744.39,111210131
2026,211,3,15260.86,111210129
2026,213,3,29869.77,111210129
2026,1478,3,114722.26,111210131
2026,1783,3,132731.68,111210131
2026,1244,3,45440.64,111210131
2026,1245,3,10891.01,111210129
2026,1246,3,4432.2,111220900
2026,1247,3,17257.39,111221500
2026,2170,3,11060.22,111210129
2026,2171,3,15483.44,111221500
2026,2178,3,10721.23,111210129
2026,2180,3,15483.44,111221500
2026,331,3,3250.0,111220100
2026,333,3,1663.13,111221500
2026,339,3,5960.0,111210129
2026,500,3,850.59,111210131
2026,1470,3,2491.02,111220900
2026,1472,3,15867.77,111220900
2026,1473,3,6016.53,111220900
2026,1852,3,56629.04,111210131
2026,1858,3,453329.47,111210131
2026,1866,3,141735.7,111210131
2026,1867,3,18504.19,111210131
2026,1873,3,21768.94,111210131
2026,1882,3,81368.57,111210131
2026,1883,3,208194.91,111210131
2026,1884,3,23118.81,111210131
2026,2089,3,24328.1,111210132
2026,2368,3,102480.0,111210131
2026,2369,3,28616.86,111210131
2026,2391,3,131668.13,111210131
2026,2643,3,12271.74,111210129
2026,560,3,109220.8,111210131
2026,562,3,120113.39,111210131
2026,568,3,323531.41,111210131
2026,1214,3,43999.22,111210129
2026,564,3,141750.73,111210131
2026,567,3,868737.01,111210131
2026,1218,3,10314.05,111220400
2026,1219,3,101474.38,111210127
2026,2058,3,1735061.95,111210131
2026,2059,3,24328.1,111210131
2026,44,3,19796.8,111210131
2026,260,3,168190.8,111210131
2026,46,3,465809.67,111210131
2026,256,3,75358.39,111210131
2026,263,3,70289.79,111210131
2026,233,3,206487.12,111210131
2026,1624,3,102480.0,111210131
2026,1625,3,28643.83,111210131
2026,2253,3,7241.32,111210129
2026,2278,3,1738.78,111220900
2026,2279,3,3130.01,111221700
2026,540,3,97200.0,111221500
2026,775,3,7517.5,111221500
2026,781,3,46172.57,111221500
2026,2026,3,256.2,111220100
2026,2035,3,595825.45,111220900
2026,2162,3,42057.67,111210131
2026,2556,3,43533.25,111210131
2026,240,3,82812.0,111210131
2026,247,3,19972.37,111210131
2026,248,3,26985.53,111210131
2026,94,3,109079.95,111210129
2026,92,3,85507.2,111210131
2026,90,3,91167.4,111210131
2026,91,3,152527.27,111210131
2026,93,3,684443.15,111210131
2026,1037,3,183933.89,111210131
2026,1123,3,29432.53,111210129
2026,66,3,149492.36,111210131
2026,67,3,59838.97,111210131
2026,68,3,113520.0,111210131
2026,349,3,4439.85,111210129
2026,823,3,35539.4,111210131
2026,825,3,78481.2,111210131
2026,832,3,12269.64,111210131
2026,833,3,52497.5,111210131
2026,925,3,1860.0,111210129
2026,928,3,10124.62,111221500
2026,930,3,13808.0,111210129
2026,932,3,1800.0,111210129
