EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,172,397,COM,2026-07140104,50087,131,2,5,6,0,1110104000,16,0,0,1750000.0
2026,176,401,COM,0000-20736234,50925,132,3,1,1,0,1110102000,33,0,0,90759.11
2026,177,407,LIQ,9139-94353521,50008,110,1,3,1,0,1110102000,1,0,0,348080.0
2026,178,408,LIQ,9139-94353522,50008,110,1,3,1,0,1110102000,1,0,0,1042720.0
2026,179,409,LIQ,4000-00013246,50051,110,1,1,6,1,1110102000,1,0,0,41769.6
2026,180,410,LIQ,4000-00013247,50051,110,1,1,6,1,1110102000,1,0,0,125126.4
2026,181,411,LIQ,0040-00013240,50052,110,1,1,6,2,1110102000,1,0,0,16707.84
2026,182,412,LIQ,0040-00013241,50052,110,1,1,6,2,1110102000,1,0,0,50050.56
2026,183,413,LIQ,9139-94353523,50008,110,1,3,1,0,1110104000,16,0,0,353535.84
2026,184,414,LIQ,9139-94353524,50008,132,1,2,1,0,1110105000,50,0,0,203040.0
2026,185,415,LIQ,4000-00013248,50051,132,1,2,5,1,1110105000,50,0,0,24364.8
2026,186,416,LIQ,0040-00013242,50052,132,1,2,5,2,1110105000,50,0,0,9745.92
2026,187,417,LIQ,9139-94353525,50008,110,1,3,1,0,1110106000,24,0,0,842080.0
2026,188,418,LIQ,4000-00013249,50051,110,1,1,6,1,1110106000,24,0,0,101049.6
2026,189,419,LIQ,0040-00013243,50052,110,1,1,6,2,1110106000,24,0,0,40419.84
2026,190,420,LIQ,9139-94353526,50008,132,1,3,1,0,1110106000,25,0,0,250040.0
2026,191,421,LIQ,4000-00013250,50051,132,1,2,5,1,1110106000,25,0,0,30004.8
2026,192,422,LIQ,0040-00013244,50052,132,1,2,5,2,1110106000,25,0,0,12001.92
2026,193,423,LIQ,9139-94353527,50008,110,1,2,1,0,1110109000,28,0,0,135360.0
2026,194,424,LIQ,4000-00013251,50051,110,1,2,5,1,1110109000,28,0,0,16243.2
