EJERCICIO,TIPO,NRO_COMPROB,COD_PROV,NRO_REG_COMP,FECH_MOVIM,FECH_COMPROB,FECH_VENCIM,FECH_CONFORMAC,PORC_BONIF,FECH_BONIF,IMPORTE_COMPR,IMPORTE_PAGADO,RINDE_IVA,PORC_IVA,PORC_CRED_FISCAL,LIST_LIBRO_IVA,FECH_LIST_IVA,COD_PROV_REAL,RAZON_SOCIAL,CUIT,DETALLE,IMPORTE_SIN_IVA
2026,FAB,0000-00000273,50063,2,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-05 00:00:00,0.0,,15037.88,15037.88,N,21.0,0.0,0,,,,  -        - ,,12428.0
2026,FAB,2022-00001350,50003,63,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,,453600.0,453600.0,N,21.0,0.0,0,,,,  -        - ,,374876.03
2026,FAB,8173-96979394,50031,66,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,2026-01-08 00:00:00,0.0,,200000.0,200000.0,N,21.0,0.0,0,,,,  -        - ,,165289.26
2026,COM,1100-01101101,708,150,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,0.0,,79411.0,79411.0,N,21.0,0.0,0,,,,  -        -,,79411.0
2026,COM,1100-01101102,708,157,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,0.0,,83207.0,83207.0,N,21.0,0.0,0,,,,  -        -,,83207.0
2026,COM,1100-01101103,708,297,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,2026-01-15 00:00:00,0.0,,83437.0,83437.0,N,21.0,0.0,0,,,,  -        -,,83437.0
2026,FAB,2022-00001357,50003,609,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,90000.0,90000.0,N,21.0,0.0,0,,,,  -        - ,,74380.17
2026,FAB,0471-01001215,50036,608,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,47321.89,47321.89,N,21.0,0.0,0,,,,  -        -,,39109.0
2026,FAB,0003-00017139,3430,305,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,2200997.5,2200997.5,N,21.0,0.0,0,,,,  -        -,,1819006.19
2026,FAB,0010-00000539,2869,476,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,1192821.0,1192821.0,N,21.0,0.0,0,,,,  -        -,,985802.47
2026,FAB,0010-00000534,2869,224,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,247920.0,247920.0,N,21.0,0.0,0,,,,  -        -,,204892.56
2026,FAB,0010-00000533,2869,224,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,231920.0,231920.0,N,21.0,0.0,0,,,,  -        -,,191669.42
2026,FAC,0002-00001002,1267,266,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,1626733.0,1626733.0,N,21.0,0.0,0,,,,  -        -,,1626733.0
2026,FAB,0006-00000809,2627,70,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,29000.0,29000.0,N,21.0,0.0,0,,,,  -        -,,23966.94
2026,FAB,0006-00000808,2627,69,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,13000.0,13000.0,N,21.0,0.0,0,,,,  -        -,,10743.8
2026,FAB,2018-00001747,50154,627,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,43000.0,43000.0,N,21.0,0.0,0,,,,  -        - ,,35537.19
2026,FAB,0051-00028139,85,502,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,1604998.0,1604998.0,N,21.0,0.0,0,,,,  -        -,,1326444.62
2026,FAB,0007-00011033,160,102,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,9800.0,9800.0,N,21.0,0.0,0,,,,  -        -,,8099.17
2026,FAB,0005-00000892,2450,277,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,2026-01-23 00:00:00,0.0,,222900.0,222900.0,N,21.0,0.0,0,,,,  -        -,,184214.87
2026,FAB,0010-00000537,2869,370,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,0.0,,1495929.0,1495929.0,N,21.0,0.0,0,,,,  -        -,,1236304.95
2026,FAB,0010-00000538,2869,382,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,2026-01-27 00:00:00,0.0,,1518843.0,1518843.0,N,21.0,0.0,0,,,,  -        -,,1255242.14
2026,LIQ,9139-94353559,50008,765,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,8641126.31,8641126.31,N,21.0,0.0,0,,,,,,8641126.31
2026,LIQ,4000-00013283,50051,766,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,946588.85,946588.85,N,21.0,0.0,0,,,,,,946588.85
2026,LIQ,0040-00013277,50052,767,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,378635.55,378635.55,N,21.0,0.0,0,,,,,,378635.55
2026,LIQ,9139-94353560,50008,768,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,11847241.47,11847241.47,N,21.0,0.0,0,,,,,,11847241.47
2026,LIQ,4000-00013284,50051,769,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,1139402.84,1139402.84,N,21.0,0.0,0,,,,,,1139402.84
2026,LIQ,0040-00013278,50052,770,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,514522.18,514522.18,N,21.0,0.0,0,,,,,,514522.18
2026,LIQ,9139-94353561,50008,771,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,66223069.44,66223069.44,N,21.0,0.0,0,,,,,,66223069.44
2026,LIQ,9139-94353562,50008,772,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,3412447.55,3412447.55,N,21.0,0.0,0,,,,,,3412447.55
2026,LIQ,9139-94353563,50008,773,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,2965180.18,2965180.18,N,21.0,0.0,0,,,,,,2965180.18
2026,LIQ,9139-94353564,50008,774,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,20445688.02,20445688.02,N,21.0,0.0,0,,,,,,20445688.02
2026,LIQ,9139-94353565,50008,775,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,9573971.72,9573971.72,N,21.0,0.0,0,,,,,,9573971.72
2026,LIQ,4000-00013285,50051,776,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,350839.8,350839.8,N,21.0,0.0,0,,,,,,350839.8
2026,LIQ,4000-00013286,50051,777,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,2070652.4,2070652.4,N,21.0,0.0,0,,,,,,2070652.4
2026,LIQ,4000-00013287,50051,778,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,309605.86,309605.86,N,21.0,0.0,0,,,,,,309605.86
2026,LIQ,4000-00013288,50051,779,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,964720.33,964720.33,N,21.0,0.0,0,,,,,,964720.33
2026,LIQ,4000-00013289,50051,780,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,6341890.28,6341890.28,N,21.0,0.0,0,,,,,,6341890.28
2026,LIQ,0040-00013279,50052,781,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,140335.92,140335.92,N,21.0,0.0,0,,,,,,140335.92
2026,LIQ,0040-00013280,50052,782,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,828260.92,828260.92,N,21.0,0.0,0,,,,,,828260.92
2026,LIQ,0040-00013281,50052,783,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,123842.34,123842.34,N,21.0,0.0,0,,,,,,123842.34
2026,LIQ,0040-00013282,50052,784,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,2536756.06,2536756.06,N,21.0,0.0,0,,,,,,2536756.06
2026,LIQ,0040-00013283,50052,785,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,385888.13,385888.13,N,21.0,0.0,0,,,,,,385888.13
2026,LIQ,9139-94353566,50008,786,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,738999.06,738999.06,N,21.0,0.0,0,,,,,,738999.06
2026,LIQ,0040-00013284,50052,787,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,35471.95,35471.95,N,21.0,0.0,0,,,,,,35471.95
2026,LIQ,9139-94353567,50008,788,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,22572967.11,22572967.11,N,21.0,0.0,0,,,,,,22572967.11
2026,LIQ,4000-00013290,50051,789,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,2545432.92,2545432.92,N,21.0,0.0,0,,,,,,2545432.92
2026,LIQ,0040-00013285,50052,790,2026-01-29 00:00:00,2026-01-29 00:00:00,,,,,1018173.16,1018173.16,N,21.0,0.0,0,,,,,,1018173.16
2026,FAC,0001-00000100,2843,337,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,1662500.0,1662500.0,N,21.0,0.0,0,,,,  -        -,,1662500.0
2026,FAB,0010-00000536,2869,251,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,61980.0,61980.0,N,21.0,0.0,0,,,,  -        -,,51223.14
2026,FAB,0002-00000526,2498,538,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,11746168.43,11746168.43,N,21.0,0.0,0,,,,  -        -,,9707577.21
2026,FAB,0003-00000673,1879,123,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,49500.0,49500.0,N,21.0,0.0,0,,,,  -        -,,40909.09
2026,FAB,0003-00000674,1879,123,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,84000.0,84000.0,N,21.0,0.0,0,,,,  -        -,,69421.48
2026,COM,2026-19600000,50031,809,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,2026-01-29 00:00:00,0.0,,50000.0,50000.0,N,21.0,0.0,0,,,,  -        -,,50000.0
