EJERCICIO,UNI_COMPRA,NRO_OC,ITEM_OC,DELEG_SOLIC,NRO_SOLIC,ITEM_REAL,DESCRIPCION,CANTIDAD,IMP_UNITARIO,CANT_RECIB,IMPORTE_EJER
2004,1,1166,1,1,1264,1,REPARACION DE CAMION - CAMIONETA - DESCRIPCION REPARACION CAJA DE VELOCIDADES.,1.0,340.0,1.0,340.0
2004,1,1166,2,1,1264,2,REPARACION DE CAMION - CAMIONETA - DESCRIPCION MANO DE OBRA,1.0,140.0,1.0,140.0
2004,1,1167,1,1,1266,1,"PINTURA AL LATEX - USO CIELORRASO - COLOR BLANCO - CAPACIDAD 4L.RECUPLAS INTERIORES,X 10 lts.
ENTONADORES.",1.0,148.44,1.0,148.44
2004,1,1168,1,1,1267,1,NAFTA SUPER - NAFTA SUPER (GENERICO) PARA FINANZAS.-,1.0,200.0,1.0,200.0
2004,1,1169,1,1,1268,1,"CARTUCHO TONER - RECARGA CARTUCHO TONER XEROX 3120,HP 1300.",1.0,375.0,1.0,375.0
2004,1,1170,1,1,1272,1,TIMBRES POSTALES - DESCRIPCION TIMBRES POSTALES.,649.0,0.75,649.0,486.75
2004,1,1171,1,1,1270,1,TIRANTE - TIRANTE (GENERICO) ELLIOTTI 3 X 8 ML. TITANTE PINO ELLIOTTI 2 X 6 ML.,1.0,289.58,1.0,289.58
2004,1,1171,2,1,1270,2,"MACHIMBRE DE MADERA - ESPECIE PINO ELLIOTTI - ESPESOR 1/2"" - ANCHO 6"" - LARGO 7ft.",35.37,12.64,35.37,447.0768
2004,1,1171,3,1,1270,3,BULIN YESERO - BULIN YESERO (Genérico),60.0,0.41,60.0,24.6
2004,1,1171,4,1,1270,4,CLAVO - CLAVO (GENERICO),2.0,4.5,2.0,9.0
2004,1,1171,5,1,1270,5,RUBEROID 40 ML. - RUBEROID 40 ML. (Genérico),1.0,90.0,1.0,90.0
2004,1,1172,1,1,1256,1,"PROTESIS ORTOPEDICA - PROTESIS THOPSON, CUELLO STANDAR, CUELLO CORTO.
CEMENTO SUBITON.
HEMOSUCTOR DRENOL.
CAMPO QUIRURGICO (NACIONAL STERI D)",1.0,311.96,1.0,311.96
2004,1,1173,1,1,1091,1,ELECTROBOMBA ROMA 7/1 CALEFACCION. - ELECTROBOMBA ROMA 7/1 CALEFACCION. (Genérico),1.0,461.7,1.0,461.7
2004,1,1174,1,1,1194,1,AGUJAS SUTURA 311/12 - AGUJAS SUTURA 311/12 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,2,1,1194,2,AGUJAS SUTURA G 311/11 - AGUJAS SUTURA G 311/11 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,3,1,1194,3,AGUJAS SUTURAS E 319/1 - AGUJAS SUTURAS E 319/1 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,4,1,1194,4,AGUJAS SUTURA 319/0 - AGUJAS SUTURA 319/0 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,5,1,1194,5,AGUJAS SUTURA E 319/3 - AGUJAS SUTURA E 319/3 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,6,1,1194,6,AGUJAS SUTURAS G 311/13 - AGUJAS SUTURAS G 311/13 (Genérico),2.0,25.0,2.0,50.0
2004,1,1174,7,1,1194,7,AGUJAS SUTURA G 211/15 - AGUJAS SUTURA G 211/15 (Genérico),2.0,27.5,2.0,55.0
2004,1,1174,8,1,1194,8,AGUJAS SUTURA PD 335/7 - AGUJAS SUTURA PD 335/7 (Genérico),2.0,27.5,2.0,55.0
2004,1,1174,9,1,1194,9,AGUJAS SUTURAS 211/9 - AGUJAS SUTURAS 211/9 (Genérico),2.0,33.0,2.0,66.0
2004,1,1175,1,1,1096,1,"LIBROS - LIBROS DERECHO AMBIENTAL, DERECHO ADMINISTRATIVO AMBIENTAL,DEFENSA CONSUMIDOR Y EL USUARIO.",1.0,268.0,1.0,268.0
2004,1,1176,1,1,1269,1,"COMPUTADORA DE OFICINA - MOTHER BIOSTAR C / DURON 2800 
RAM 128 MB DDR.
DISK DE 40 GB.
LECTOR DE CD X 52 X.
DRIVE DE 3 1/2
GABINETE KIT.",2.0,1149.0,2.0,2298.0
2004,1,1176,2,1,1269,2,"MONITOR - TIPO MONOCROMATICO - TAMAÑO 15"" - TAMAÑO CELDA 0,26MM - ENERGY STAR NO.",2.0,480.0,2.0,960.0
2004,1,1558,1,1,1691,1,GAS OIL - GAS OIL (GENERICO) PARA INSPECCION GENERAL Y TRANSITO.-,1.0,715.0,1.0,715.0
