EJERCICIO,NUM_PED,LUG_EMI,FECH_EMI,NUM_PED_ORI,FECH_EMI_ORI,CODIGO_DEP,CODIGO_UE,JURISDICCION,COSTO_TOT,OBSERVACIONES,PED_ESTADO,CANT_IMP,FECH_MODI_ULT,CODIGO_FF,COD_LUG_ENT,PLAZO_ENT,PER_CONSUMO,FECH_ING_COMP,RESP_RETIRA_PED
2005,1519,GRAL,2005-07-08 00:00:00,,,OPP,3,1110103000,775.0,,G,0,2005-07-08 08:27:14,110,3,000000,,,
2005,1518,GRAL,2005-07-08 00:00:00,,,CO,2,1110102000,450.0,,G,0,2005-07-08 08:45:13,132,11,000000,,,
2005,1521,GRAL,2005-07-08 00:00:00,,,ASE,2,1110102000,383.0,,G,0,2005-07-08 09:07:16,110,1,000000,,,
2005,1520,GRAL,2005-07-08 00:00:00,,,PROD,14,1110108000,474.0,,G,0,2005-07-08 09:03:01,110,8,000000,,,
2005,1522,GRAL,2005-07-08 00:00:00,,,HOSP,5,1110104000,175.0,,G,0,2005-07-08 09:14:03,110,2,000000,,,
2005,1527,GRAL,2005-07-11 00:00:00,,,CAS,3,1110111000,2520.0,,G,0,2005-07-11 08:54:35,131,6,000000,,,
2005,1524,GRAL,2005-07-08 00:00:00,,,CEMEN,3,1110103000,124.0,,G,0,2005-07-08 11:11:28,110,7,000000,,,
2005,1523,GRAL,2005-07-08 00:00:00,,,DEP,13,1110109000,300.0,,G,0,2005-07-08 11:00:04,110,9,000000,,,
2005,1526,GRAL,2005-07-11 00:00:00,,,DEP,13,1110109000,1225.0,,G,0,2005-07-11 08:03:15,110,9,000000,,,
2005,1525,GRAL,2005-07-11 00:00:00,,,PROD,14,1110108000,180.0,,G,0,2005-07-11 07:32:19,110,8,000000,,,
2005,1539,GRAL,2005-07-11 00:00:00,,,SURB,3,1110103000,130.0,,G,0,2005-07-11 12:54:36,110,3,000000,,,
2005,1531,GRAL,2005-07-11 00:00:00,,,OPP,3,1110103000,51179.0,,G,0,2005-07-11 09:40:42,110,3,000000,,,
2005,1528,GRAL,2005-07-11 00:00:00,,,CAS,3,1110111000,4235.0,,G,0,2005-07-11 08:56:48,131,6,000000,,,
2005,1529,GRAL,2005-07-11 00:00:00,,,ACCSOC,7,1110106000,120.0,,G,0,2005-07-11 08:58:50,110,4,000000,,,
2005,1530,GRAL,2005-07-11 00:00:00,,,HOSP,5,1110104000,2430.0,,G,0,2005-07-11 09:29:48,110,2,000000,,,
2005,1536,GRAL,2005-07-11 00:00:00,,,OPP,3,1110103000,3636.77,,G,0,2005-07-11 11:02:13,110,3,000000,,,
2005,1532,GRAL,2005-07-11 00:00:00,,,CO,2,1110102000,264.0,,G,0,2005-07-11 10:19:31,132,11,000000,,,
2005,2280,GRAL,2005-09-28 00:00:00,,,HOSP,5,1110104000,337.0,,G,0,2005-09-28 10:24:55,110,2,000000,,,
2005,2283,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,713.0,,G,0,2005-09-29 08:39:12,110,1,000000,,,
2005,2285,GRAL,2005-09-29 00:00:00,,,CO,2,1110102000,151.0,,G,0,2005-09-29 11:34:30,132,11,000000,,,
2005,2282,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,900.0,,G,0,2005-09-29 08:34:55,110,1,000000,,,
2005,2284,GRAL,2005-09-29 00:00:00,,,GOBHAC,2,1110102000,636.0,,G,0,2005-09-29 09:58:44,110,1,000000,,,
2005,2287,GRAL,2005-09-29 00:00:00,,,JARD,7,1110106000,385.0,,G,0,2005-09-29 11:46:21,132,4,000000,,,
