EJERCICIO,NRO_CANCE,COD_RET,IMPORTE,CUENTA
2004,1373,6,55.68,111210104
2004,1374,6,39.24,111210104
2004,1375,1,33.6,111210104
2004,1375,2,10.8,111210104
2004,1377,1,33.6,111210104
2004,1377,2,10.8,111210104
2004,1380,6,13.44,111210104
2004,1381,6,3.5,111210104
2004,1382,6,11.25,111210104
2004,1383,6,11.25,111210104
2004,1385,6,63.27,111220900
2004,1387,6,84.0,111220900
2004,1388,6,95.34,111220900
2004,1389,6,24.3,111220900
2004,1390,6,74.06,111220900
2004,1391,6,9.84,111210104
2004,1397,6,12.6,111210104
2004,1400,6,35.56,111210104
2004,1401,6,47.04,111210104
2004,1404,6,11.25,111210104
2004,1405,6,33.6,111220900
2004,1408,6,16.2,111210104
2004,1410,6,169.27,111220900
2004,1412,6,12.0,111210104
2004,1416,6,9.3,111210104
2004,1421,6,1.13,111210104
2004,1428,6,31.82,111210104
2004,1429,6,32.44,111210104
2004,1431,6,35.52,111210104
2004,1440,6,156.0,111210103
2004,1433,6,3.97,111210104
2004,1432,6,33.6,111210103
2004,1450,1,46.29,111210104
2004,1450,2,14.88,111210104
2004,1450,18,42.31,111210104
2004,1463,6,12.32,111210104
2004,1478,6,4.02,111210104
2004,1480,6,15.62,111210104
2004,1482,6,10.8,111210104
2004,1492,6,3.49,111210104
2004,1495,6,16.99,111210104
2004,1501,3,29.38,111220900
2004,1501,6,18.58,111220900
2004,1505,6,16.99,111220100
2009,6226,6,397.5,111210125
2009,6230,6,58.6,111221300
2009,6231,6,50.9,111210125
2009,6234,6,359.6,111210125
2009,6246,6,95.4,111210125
2009,6260,3,244.37,111210125
2009,6260,6,354.8,111210125
2009,6261,4,270.9,111210125
2009,6261,6,151.7,111210125
2009,6262,3,137.41,111210125
2009,6262,6,221.3,111210125
2009,6272,6,134.4,111210125
2009,6273,6,110.3,111210125
2009,6274,6,450.4,111210125
2009,6279,6,15.0,111210125
2009,6283,6,150.1,111220900
2009,6284,6,91.1,111210125
2009,6286,6,146.5,111210125
2009,6296,3,102.66,111210125
2009,6297,4,343.6,111210125
2009,6297,6,164.9,111210125
2009,6298,6,5.9,111210125
2009,6299,6,2.8,111210125
2009,6300,6,56.6,111210125
2009,6308,6,55.3,111210125
2009,6312,3,67.78,111220900
2009,6312,6,72.4,111220900
2009,6315,6,64.8,111220900
2009,6316,6,31.6,111210125
2009,6334,6,192.8,111220803
2009,6335,3,1317.68,111220803
2009,6335,4,2671.2,111220803
2009,6335,6,1495.8,111220803
2009,6336,4,420.0,111220803
2009,6336,6,235.2,111220803
2009,6337,4,200.0,111220803
2009,6337,6,112.0,111220803
2009,6338,3,89.2,111220300
2009,6338,6,264.8,111220300
2009,6360,6,137.6,111210125
2009,6361,3,70.0,111210125
2009,6361,4,175.0,111210125
2009,6351,3,432.0,111210125
2009,6351,4,1330.0,111210125
2009,6351,6,744.8,111210125
2009,6357,6,203.8,111220900
2009,6361,6,98.0,111210125
2009,6372,1,132235.14,111210125
2009,6372,2,44956.29,111210125
2009,6372,3,2733.04,111210125
2009,6372,5,81637.73,111210125
2009,6372,7,7621.98,111210125
2009,6372,9,2433.46,111210125
2009,6372,10,3072.03,111210125
2009,6372,11,1123.53,111210125
2009,6372,12,230.0,111210125
2009,6372,14,9050.86,111210125
2009,6372,15,25.05,111210125
2009,6372,16,2717.48,111210125
2009,6372,17,1042.34,111210125
2009,6372,18,25402.67,111210125
