EJERCICIO,NRO_OP,NRO_REG_COMP,TIPO_COMPROB,NRO_COMPROB,COD_PROV,CODIGO_FF,INCISO,PAR_PRIN,PAR_PARC,PAR_SUBP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,IMPORTE_IMPUT
2026,898,1427,FAB,1001-00468855,193,110,3,1,1,0,1110106000,24,0,0,81378.57
2026,899,1428,FAB,1001-00468856,193,110,3,1,1,0,1110105000,50,0,0,216711.68
2026,900,1429,FAB,1001-00468857,193,110,3,1,1,0,1110103000,1,0,0,2759651.31
2026,901,1430,FAB,1001-00468858,193,110,3,1,1,0,1110113000,1,0,0,20224001.89
2026,1189,1727,FAC,0001-00000248,50363,110,2,9,6,0,1110105000,50,0,0,26900.0
2026,1189,1727,FAB,0002-00000005,50363,110,2,1,1,0,1110105000,50,0,0,23759.97
2026,1189,1727,FAB,0007-00010921,50363,110,2,9,4,0,1110105000,50,0,0,4000.0
2026,1189,1727,TKT,0010-00324740,50363,110,2,1,1,0,1110105000,50,0,0,5360.0
2026,1191,1728,FAB,0004-00002830,50015,110,2,9,6,0,1110106000,24,0,0,78500.0
2026,1191,1728,FAC,0002-00000032,50015,110,3,3,2,0,1110106000,24,0,0,9000.0
2026,1199,1694,FAB,0001-00000072,3180,110,3,4,6,0,1110105000,50,0,0,100000.0
2026,1203,525,FAC,0001-00000068,3361,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1204,916,FAC,0002-00000126,2704,131,3,4,9,0,1110106000,44,0,0,1119291.68
2026,1205,568,FAC,0001-00000123,3034,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1206,530,FAC,0001-00000014,3440,131,3,4,9,0,1110106000,44,0,0,846908.96
2026,1207,555,FAC,0003-00000180,1825,110,3,4,9,0,1110106000,49,0,0,372382.72
2026,1208,566,FAC,0003-00000181,1825,131,3,4,9,0,1110106000,44,0,0,306430.56
2026,1209,572,FAC,0001-00000019,3438,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1210,567,FAC,0001-00000016,3455,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1211,574,FAC,0001-00000014,3453,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1212,470,FAC,0001-00000070,3033,131,3,4,9,0,1110106000,44,0,0,1051196.0
2026,1213,565,FAC,0001-00000012,3492,131,3,4,9,0,1110106000,44,0,0,272382.72
