ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,CODIGO_META,CODIGO_UM,CANT_EJECUTADO,CANT_ESTIMADO,CANT_PROGRAMADO,CODIGO_PRESTAMO
2026,1110104000,16,0,0,12,11,10000,10000,10000,
2026,1110104000,16,0,0,34,31,18,24,30,
2026,1110104000,16,0,0,2,2,450000,600000,635000,
2026,1110104000,17,0,0,12,11,10000,10000,10000,
2026,1110106000,24,0,0,9,8,6000,6000,3500,
2026,1110106000,25,0,0,9,8,180,180,300,
2026,1110109000,28,0,0,15,14,0,6200,6200,
2026,1110113000,32,0,0,32,29,4800,5800,6800,
2026,1110108000,29,0,0,13,12,6000,8000,10000,
2026,1110113000,32,0,0,26,25,4,15,20,
2026,1110102000,33,0,0,19,18,0,0,16,
2026,1110102000,33,0,0,26,25,0,0,4,
2026,1110106000,42,0,0,9,8,2000,2000,2000,
2026,1110113000,42,0,0,39,34,200,400,600,
2026,1110113000,42,0,0,25,24,720,1200,1500,
2026,1110113000,43,0,0,23,22,12,24,31,
2026,1110109000,46,0,0,24,23,0,50,50,
2026,1110113000,47,0,0,35,32,4,6,8,
2015,1110102000,33,0,0,26,25,0,0,4,
2016,1110112000,33,0,0,33,30,2000,2000,2000,
2016,1110112000,33,0,0,42,38,2400,2400,2400,
2016,1110110000,30,0,0,41,37,36000,34000,70000,
2016,1110110000,30,0,0,40,35,1600,355,2200,
2016,1110110000,30,0,0,39,34,6000,5000,7000,
2016,1110110000,30,0,0,38,33,1700,1764,1900,
2016,1110106000,24,0,0,9,8,6000,6000,3500,
2016,1110108000,29,0,0,13,12,6000,8000,10000,
2016,1110109000,28,0,0,15,14,0,6200,6200,
2016,1110109000,46,0,0,24,23,0,50,50,
2016,1110106000,25,0,0,9,8,180,180,300,
2016,1110106000,42,0,0,9,8,2000,2000,2000,
2016,1110105000,27,0,0,26,25,48,50,60,
2016,1110105000,27,0,0,28,10,1000,1000,1000,
2016,1110105000,27,0,0,27,10,200,200,200,
2016,1110105000,27,0,0,9,8,100,100,100,
2016,1110105000,27,0,0,22,21,100,115,125,
2016,1110105000,27,0,0,21,20,28,34,45,
2016,1110105000,27,0,0,20,19,28,32,36,
2016,1110105000,27,0,0,19,18,36,42,50,
2016,1110105000,27,0,0,18,17,40,46,50,
2016,1110105000,27,0,0,15,14,8000,8000,8000,
2016,1110104000,17,0,0,12,11,10000,10000,10000,
2016,1110113000,31,0,0,31,28,50,60,65,
2016,1110113000,32,0,0,32,29,4800,5800,6800,
2016,1110113000,32,0,0,26,25,4,15,20,
2016,1110113000,42,0,0,39,34,200,400,600,
2016,1110113000,42,0,0,25,24,720,1200,1500,
2016,1110113000,43,0,0,23,22,12,24,31,
2016,1110113000,47,0,0,35,32,4,6,8,
2016,1110104000,16,0,0,12,11,10000,10000,10000,
2016,1110104000,16,0,0,34,31,18,24,30,
2016,1110104000,16,0,0,2,2,450000,600000,635000,
2016,1110103000,18,0,0,5,5,40,40,60,
2016,1110103000,19,0,0,3,4,840,880,920,
2016,1110103000,20,0,0,4,7,400,400,400,
2016,1110103000,21,0,0,8,1,4400,4800,5500,
2016,1110103000,22,0,0,7,6,1000,1200,1500,
2016,1110103000,26,0,0,30,27,480,500,540,
2016,1110103000,45,0,0,29,26,800,840,880,
2016,1110102000,33,0,0,19,18,0,0,16,
2016,1110102000,33,0,0,26,25,0,0,4,
2017,1110106000,24,0,0,9,8,6000,6000,3500,
2017,1110108000,29,0,0,13,12,6000,8000,10000,
2017,1110109000,28,0,0,15,14,0,6200,6200,
2017,1110109000,46,0,0,24,23,0,50,50,
2017,1110106000,25,0,0,9,8,50,60,60,
2017,1110106000,42,0,0,9,8,2000,2000,2000,
2017,1110105000,27,0,0,26,25,48,50,60,
2017,1110105000,27,0,0,28,10,1000,1000,1000,
