EJERCICIO,NRO_REG_DEVEN,FECH_REG_DEVEN,NRO_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,CODIGO_FF,COD_PROV,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_DEVEN,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,OBSERVACIONES,ASIENTO,ASIENTO_ANUL,F931
2026,1682,2026-03-13 00:00:00,1962,GMADA,1110104000,11,110,50008,,,,635115.52,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11171,,
2026,1683,2026-03-13 00:00:00,1963,GMADA,1110104000,11,110,50008,,,,472359.23,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11172,,
2026,1684,2026-03-13 00:00:00,1964,GMADA,1110105000,6,110,50008,,,,633966.26,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11173,,
2026,1685,2026-03-13 00:00:00,1965,GMADA,1110105000,6,132,50008,,,,612685.56,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11174,,
2026,1686,2026-03-13 00:00:00,1966,GMADA,1110106000,7,132,50008,,,,73781.68,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11175,,
2026,1687,2026-03-13 00:00:00,1967,GMADA,1110108000,14,110,50008,,,,378684.38,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11176,,
2026,1688,2026-03-13 00:00:00,1968,GMADA,1110109000,13,110,50008,,,,2967526.26,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11177,,
2026,1689,2026-03-13 00:00:00,1969,GMADA,1110109000,13,132,50008,,,,622542.43,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11178,,
2026,1690,2026-03-13 00:00:00,1970,GMADA,1110111000,3,131,50008,,,,4095679.75,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11179,,
2026,1691,2026-03-13 00:00:00,1971,GMADA,1110113000,20,110,50008,,,,6657351.87,C,S,2026-03-13 00:00:00,,,1,Generado Automaticámente - Periodo 2/2026 - Tipo/Grupo 1/23,11180,,
