ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,FECHA_REGIS,DESCRIPCION1,DESCRIPCION2,DESCRIPCION3,DESCRIPCION4,DESCRIPCION5,DESCRIPCION6
2004,1110109000,28,0,0,2003-12-30 13:08:06,SE PROMUEVE LA PRACTICA DEPORTIVA HACIENDO HINCAPIE EN EL DEPORTE COMO ACTIVIDAD INTEGRADORA DE LA SOCIEDAD Y COMO HERRAMIENTA FORMATIVA EN LA PROYECCION DE CIUDADANOS.,,,,,
2004,1110110000,27,0,0,2003-12-24 12:08:11,"SE PROMOCION A GENERAL JUAN MADARIAGA COMO DESTINO TURISTICO. 
SE ESTIMULA A LOS EMPRESARIOS A MEJORAR LA OFERTA TURISTICA DE LA CIUDAD.
SE ORGANIZAN EXCURSIONES.+",,,,,
2004,1110111000,23,0,0,2003-12-24 12:08:42,SE MANTIENE Y MEJORA LOS CAMINOS RURALES DE NUESTRO PARTIDO.,,,,,
2005,1110106000,24,0,0,2004-10-06 19:52:07,"ASISTIMOS A LAS FAMILIAS POR DEBAJO DE LA LINEA DE LA POBREZA.
BRINDAMOS ASISTENCIA ALIMENTARIA, EN SALUD, TRANSPORTE Y MEJORAMIENTO DE VIVIENDAS PRECARIAS.
REALIZAMOS TRAMITES ANTE LOS ORGANISMOS CORRESPONDIENTES A FIN DE FACILITAR EL ACCESO A BENEFICIOS SOCIALES DE LA POBLACION.
TRABAJAMOS EN COORDINACION CON LA JUSTICIA EN MATERIA DE VIOLENCIA FAMILIAR Y CHICOS DE LA CALLE.",,,,,
2005,1110106000,25,0,0,2004-10-06 19:56:16,"RECEPCIONA NIÑOS QUE NO CONCURREN A ESTABLECIMIENTOS PREESCOLARES BRINDANDO ATENCION Y DANDO PRIORIDAD A LAS FAMILIAS CUYOS PADRES TRABAJAN Y QUE NO CUENTAN CON POSIBILIDADES DE HACER FRENTE A SERVICIOS PRIVADOS.
BRINDAMOS ATENCION A AL NIÑEZ EN UN MARCO LUDICO-EDUCATIVO.",,,,,
2005,1110109000,28,0,0,2004-10-14 19:54:43,"MEDIANTE LA PROMOCION DEL DEPORTE LOGRAMOS MEJORAR LA FORMACION EDUCATIVA Y CULTURAL DE LOS INDIVIDUOS INDEPENDIENTEMENTE DE LAS CONNOTACIONES O RESULTADOS DEPORTIVOS.
CENTRAMOS NUESTRO TRABAJO UTILIZANDO EL DEPORTE COMO HERRAMIENTA FORMATIVA EN LA EDUCACION DEL INDIVIDUO Y COMO ELEMENTO DE INTEGRACION SOCIAL Y MEJORAMIENTO DE LA SOCIEDAD EN SU CONJUNTO.
",,,,,
2005,1110103000,18,0,0,2004-10-20 13:54:20,"SE REALIZA EL MANTENIMIENTO Y MEJORADO DE LAS CALLES DEL CASCO URBANO.
CONTROL Y GESTION DE LAS OBRAS PARTICULARES.
CONTROL Y GESTION DEL CATASTRO URBANO Y RURAL DEL PARTIDO.
DESMALEZAMIENTO DE ESPACIOS PUBLICOS, REPARACION DE CALZADAS, BACHEO, REPARACION Y MANTENIMIENTO DE MAQUINAS MUNICIPALES.
LIMPIEZA DE CANALES PLUVIALES DE LA CIUDAD,  BOCAS DE TORMENTA.",,,,,
2005,1110103000,19,0,0,2004-10-20 13:55:26,"BRINDAMOS EL SERVICIO DE ALUMBRADO A LA CIUDAD, REPOSICION DE LAMPARAS E INSTLACION DE NUEVAS LUMINARIAS DE IODO Y VAPOR DE MERCURIO.
",,,,,
2005,1110103000,20,0,0,2004-10-20 13:57:15,"SE PROVEE ESPACIO PARA LA INHUMACION, MANTENIMIENTO DE LAS INSTALACIONES, COSTRUCCION DE NUEVOS NICHOS Y SERVICIOS COMUNES.
CONSERVACION DE LOS ESPACIOS VERDES COMUNES, CONTROL DE PLAGAS Y REDUCCIONES.
",,,,,
2005,1110103000,21,0,0,2004-10-20 13:58:52,"REALIZAMOS LA RECOLECCION Y DISPOSICION FINAL DE RESIDUOS SOLIDOS URBANOS. SE REALIZA LA RECOLECCION DE RESIDUOS NO DOMICILIARIOS COMO TIERRA, RAMAS, ESCOMBROS, ETC.
",,,,,
