EJERCICIO,NRO_CANCE,ESTADO,FECHA_ANULA,COD_PROV,TIPO_CANCE,OBSERVACIONES,USUARIO,FECHA_ALTA
2026,628,A,2026-02-24 00:00:00,3287,P,,SLEIVA,2026-02-23 08:06:20
2026,661,A,2026-02-25 00:00:00,50431,P,,GTEVEZ,2026-02-24 11:55:42
2026,857,A,2026-03-11 00:00:00,3534,P,,SLEIVA,2026-03-11 08:34:00
2026,865,A,2026-03-12 00:00:00,50209,P,,SLEIVA,2026-03-12 08:37:39
2026,826,A,2026-03-09 00:00:00,2110,A,,GTEVEZ,2026-03-09 09:20:29
2026,889,A,2026-03-13 00:00:00,1514,P,,SLEIVA,2026-03-13 07:18:20
2026,548,A,2026-02-13 00:00:00,50087,P,,RMENDEZ,2026-02-13 11:57:36
2026,557,A,2026-02-18 00:00:00,1267,P,,SLEIVA,2026-02-18 08:28:50
