ANIO_PRESUP,JURISDICCION,PROGRAMA,ACTIV_PROY,ACTIV_OBRA,DESAGREGA,DENOMINACION,DENOMINACION_AB,CODIGO_UE,EJECUTADO,ESTIMADO,PROGRAMADO,CODIGO_PRESTAMO,FINALIDAD,FUNCION,SUBFUNCION,CREDITO_INIC,CREDITO_MODIF,PREVENTIVO,COMPROMISO,DEVENGADO,PAGADO,PPG,PPG_PORCEN
2025,1110109000,48,0,0,N,Programa Nuestros Chicos,Prog. Nuestros Chicos,13,0.0,0.0,0.0,,3,4,6,6510000.0,0.0,19232459.25,0.0,14918206.61,0.0,,
2025,1110106000,45,0,0,N,Operadores Barriales,Operadores Barriales,7,0.0,0.0,0.0,,3,2,0,3400000.0,0.0,0.0,0.0,0.0,0.0,,
2025,1110106000,46,0,0,N,Proteccion Derechos de niños/as Adolescentes,Derechos Niños y Adolesce,7,0.0,0.0,0.0,,3,2,0,15100000.0,0.0,0.0,0.0,0.0,0.0,,
2025,1110200000,1,0,0,N,Legislación Municipal,Legislación Municipal,8,0.0,0.0,0.0,,1,1,0,228585808.0,0.0,15654746.0,0.0,330393364.4,0.0,,
2025,1110101000,1,0,0,N,Fijación de Objetivos de Política Gubernamental,Política Gubernamental,1,0.0,0.0,0.0,,1,3,0,147015557.0,0.0,33285003.91,0.0,308519633.06,0.0,,
2025,1110104000,16,0,0,N,Atención Médica Primaria y Asistencial,Hospital,5,0.0,0.0,0.0,,3,1,0,8209258554.0,0.0,1919501730.02,0.0,11652401998.69,635000.02,,
2025,1110104000,17,0,0,N,Servicios de Control Bromatológico y zoonosis,Bromatologia,11,0.0,0.0,0.0,,3,1,0,181344490.0,0.0,50941805.16,0.0,247385392.26,0.0,,
2025,1110103000,1,0,0,N,Conducción y Administración de la Secretaria de Obras y Servicios Públicos,Conducción,3,0.0,0.0,0.0,,3,9,1,385816628.0,0.0,20712284.92,0.0,926973575.4,0.0,,
2025,1110103000,51,91,0,N,Parque de la Estacion,Parque de la Estacion,3,0.0,0.0,0.0,,3,4,6,25000000.0,0.0,156669757.65,0.0,156932257.39,0.0,,
2025,1110111000,23,0,0,N,Conservación y Mejorado de Caminos Rurales,Conservación de Caminos,3,0.0,0.0,0.0,,4,3,0,404210807.0,0.0,382753466.13,0.0,626937026.5,0.0,,
2025,1110106000,24,0,0,N,Desarrollo Social,Desarrollo Social,7,0.0,0.0,0.0,,3,2,0,965308761.0,0.0,387402977.65,0.0,844117317.33,0.0,,
2025,1110106000,25,0,0,N,Desarrollo Infantil,Desarrollo Infanitl,7,0.0,0.0,0.0,,3,4,2,160614192.0,0.0,14861522.88,0.0,330161826.39,0.0,,
2025,1110109000,28,0,0,N,Promoción del Deporte,Promoción del Deporte,13,0.0,0.0,0.0,,3,4,2,244491037.0,0.0,84860285.16,0.0,595877460.08,0.0,,
2025,1110108000,29,0,0,N,Estimulación Para el Desarrollo de la Producción y el empleo,Producción,14,0.0,0.0,0.0,,4,5,0,126805198.0,0.0,54561207.5,0.0,237130804.12,0.0,,
2025,1110107000,93,0,0,N,Deuda Flotante,Deuda Flotante,2,0.0,0.0,0.0,,5,1,0,98450000.0,0.0,0.0,0.0,748559553.62,747924553.6,,
2025,1110110000,30,0,0,N,Fomento y Promoción del Turismo,Promoción del Turismo,12,0.0,0.0,0.0,,4,7,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2025,1110107000,91,0,0,N,Devolución de Tributos,Devolución de Tributos,2,0.0,0.0,0.0,99998,5,1,0,15000.0,0.0,0.0,0.0,67461.0,67461.0,,
2021,1110103000,51,92,0,S,Obras Fondo Educativo Dto 1256-19,O. F. Educativo Dto1256,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110103000,51,99,21,N,gas de la escuela tuyu,Gas de la escuela tuyu,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,141204.83,0.0,332204.81,0.0,,
2021,1110103000,51,99,22,N,polideportivo-escuelas,Polideportivo- escuelas,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,1715053.65,0.0,1386640.3,0.0,,
2021,1110103000,51,54,0,N,DELEGACION SUR,DELEGACION SUR,3,0.0,0.0,0.0,,1,3,0,0.0,0.0,703737.58,0.0,703733.9,0.0,,
2021,1110102000,50,0,0,N,Direccion de Cultura y Educacion,Direccion de Cultura,27,0.0,0.0,0.0,,3,4,1,26435036.0,0.0,4815376.0,0.0,35594338.04,0.0,,
2021,1110102000,30,0,0,N,Direccion de Turismo y Museos,Direccion de Turismo,28,0.0,0.0,0.0,,4,7,0,13491412.0,0.0,5156864.91,0.0,14917709.73,0.0,,
2021,1110103000,51,92,6,N,Escuela Especial nº 501,Escuela Especial nº501,3,0.0,0.0,0.0,,3,4,2,2500000.0,0.0,3126009.28,0.0,3307233.31,0.0,,
2021,1110103000,51,92,7,N,Casa de la Cultura,Casa de la Cultura,3,0.0,0.0,0.0,,3,4,2,1000000.0,0.0,2397743.83,0.0,2393424.16,0.0,,
2021,1110103000,51,71,0,N,Obras en dependencias Municipales,obras en dependencias,3,0.0,0.0,0.0,,1,3,0,0.0,0.0,174848.0,0.0,174848.0,0.0,,
2022,1110103000,51,99,1,N,NIDO Polo Tecnologico SIP,Polo Tecnologico SIP,3,0.0,0.0,0.0,,3,4,1,15000000.0,0.0,300000.0,0.0,0.0,0.0,,
2023,1110103000,51,87,0,N,LUMINARIAS LED,LUMINARIAS LED,3,0.0,0.0,0.0,,3,9,2,10000000.0,0.0,72706914.99,0.0,23140166.0,0.0,,
2021,1110102000,52,0,0,N,Delegacion Frente de Ruta Comercial,Delegacion Ruta 11,2,0.0,0.0,0.0,,4,7,0,2585296.0,0.0,223321.31,0.0,3579822.38,0.0,,
2021,1110103000,51,90,0,N,Repavimentacion de la AV Tuyu,Repavi. AV Tuyu,3,0.0,0.0,0.0,,3,9,1,8005000.0,0.0,8118544.2,0.0,8118544.2,0.0,,
2023,1110106000,49,0,0,N,Granja de contencion Municipal,Granja de Contencion,7,0.0,0.0,0.0,,3,3,0,10895850.0,0.0,3316513.83,0.0,4121245.38,0.0,,
2023,1110103000,51,99,2,N,ESCUELA TECNICA,ESCUELA TECNICA,3,0.0,0.0,0.0,,3,4,2,0.0,0.0,2831929.69,0.0,3436529.69,0.0,,
2023,1110103000,51,84,0,N,CASA DE LA PROVINCIA,CASA DE LA PROVINCIA,3,0.0,0.0,0.0,,1,7,0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0
2024,1110103000,51,88,0,N,SALA DE MATERNIDAD,SALA DE MATERNIDAD,3,0.0,0.0,0.0,,3,1,0,0.0,0.0,5915000.0,0.0,10150000.0,0.0,N,0.0
2021,1110103000,51,74,0,N,Construcción Vivienda Social,Constr. Vivienda Social,3,0.0,0.0,0.0,,3,7,0,19000000.0,0.0,7126417.09,0.0,5566372.63,0.0,,
2024,1110106000,44,0,0,N,Programa Integral de Derechos,PID,7,0.0,0.0,0.0,,3,3,0,0.0,0.0,82526239.64,0.0,79020640.48,0.0,N,0.0
2021,1110109000,47,0,0,N,Torneos Bonaerenses Deportes,Torneos Bonaerenses,13,0.0,0.0,0.0,,3,4,2,1175000.0,0.0,647600.0,0.0,542729.0,0.0,,
2021,1110106000,43,0,0,N,Programa Envión,Programa Envión,7,0.0,0.0,0.0,,3,2,0,1251499.0,0.0,780789.82,0.0,1333446.85,0.0,,
2021,1110103000,51,99,5,N,Asfalto acceso Jardin de infantes nº902,Acceso Jardin  nº902,3,0.0,0.0,0.0,,3,4,2,6500000.0,0.0,5992005.64,0.0,5992005.64,0.0,,
2025,1110103000,51,0,0,S,PLAN DE OBRAS MUNICIPALES,PLAN DE OBRAS MUNICIPALES,3,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
2021,1110106000,1,0,0,N,Conduccion y administracion de la secretaria de Planificacion Social,Conduccion y administraci,7,0.0,0.0,0.0,,1,3,0,6850258.0,0.0,276020.0,0.0,5634649.56,0.0,,
2021,1110113000,1,0,0,N,Conduccion y Administracion de Secretaria de Prevencion de la Seguridad,Conduccion y Adm,20,0.0,0.0,0.0,,1,3,0,21054938.0,0.0,0.0,0.0,12098985.95,0.0,,
2025,1110102000,1,0,0,N,Conducción Superior,Conducción Superior,2,0.0,0.0,0.0,,1,3,0,533822050.0,0.0,334357807.45,0.0,941228141.26,0.0,,
2025,1110113000,42,0,0,N,Protección Ciudadana,Seguridad,20,0.0,0.0,0.0,,2,1,0,982157018.0,0.0,175961101.27,0.0,1362098648.65,0.0,,
2025,1110112000,1,0,0,N,Administración Financiera,Administración Financiera,19,0.0,0.0,0.0,,1,6,0,459481823.0,0.0,91741393.51,0.0,754375764.32,0.0,,
2025,1110109000,46,0,0,N,Promocion de la Tercera Edad,Tercera Edad,13,0.0,0.0,0.0,,3,4,2,9389471.0,0.0,0.0,0.0,18437613.85,0.0,,
