COD_PROV,COD_IMP,COD_ACTIV,COEF_CONV_MULTI
835,IVA,RESPO,1.0
835,SUSS,APATR,1.0
836,GANAN,VTABI,1.0
836,IVA,RESPO,1.0
836,SUSS,APATR,1.0
50221,GANAN,EXENT,1.0
50221,INGBR,EXENT,1.0
50221,IVA,EXENT,1.0
50221,SUSS,EXENT,1.0
50222,GANAN,EXENT,1.0
50222,INGBR,EXENT,1.0
50222,IVA,EXENT,1.0
50222,SUSS,EXENT,1.0
837,IVA,RESPO,1.0
837,SUSS,APATR,1.0
50233,GANAN,EXENT,1.0
50233,INGBR,EXENT,1.0
50233,IVA,EXENT,1.0
50233,SUSS,EXENT,1.0
50223,GANAN,EXENT,1.0
50223,INGBR,EXENT,1.0
50223,IVA,EXENT,1.0
50223,SUSS,EXENT,1.0
838,GANAN,VTABI,1.0
838,IVA,RESPO,1.0
838,SUSS,APATR,1.0
839,GANAN,VTABI,1.0
839,IVA,RESPO,1.0
839,SUSS,APATR,1.0
840,GANAN,VTABI,1.0
840,IVA,RESPO,1.0
840,SUSS,APATR,1.0
