EJERCICIO,COD_INGRESO,ORDEN,PORCENTAJE,TIPO_INGRESO,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,CODIGO_AXT,JURISDICCION,CUENTA
2006,94,1,100.0,P,33,1,0,0,,1110102000,111210121
2006,93,1,100.0,P,37,5,2,1,,1110102000,111210113
2007,213,1,100.0,P,11,4,1,0,,1110102000,111210113
2007,1,1,100.0,P,12,2,12,0,,1110102000,111210121
2007,2,1,100.0,P,12,6,2,0,,1110102000,111210121
2007,3,1,100.0,P,12,2,11,0,,1110102000,111210121
2007,214,1,100.0,P,11,4,3,1,,1110102000,111210114
2007,215,1,100.0,P,11,4,3,4,,1110102000,111210115
2007,216,1,100.0,P,16,2,3,0,,1110102000,111210121
2007,217,1,100.0,P,17,5,1,4,,1110102000,111220100
2007,218,1,100.0,P,11,4,3,2,,1110102000,111220400
2007,219,1,100.0,P,11,9,1,0,,1110102000,111210113
2007,220,1,100.0,P,14,1,1,0,,1110102000,111210121
2007,221,1,100.0,P,17,5,1,8,,1110102000,111220100
2007,222,1,100.0,P,17,5,1,5,,1110102000,111220100
2007,223,1,100.0,P,17,5,1,13,,1110102000,111220100
2007,225,1,100.0,P,12,9,3,0,,1110102000,111210121
2007,4,1,100.0,P,12,1,17,4,,1110102000,111210121
2007,226,1,100.0,P,17,2,1,1,,1110102000,111210121
2007,227,1,100.0,P,17,5,1,11,,1110102000,111220100
2007,228,1,100.0,P,17,5,1,12,,1110102000,111220100
2007,224,1,100.0,P,17,5,1,14,,1110102000,111220700
2007,229,1,100.0,P,17,5,1,10,,1110102000,111210121
2007,5,1,100.0,P,12,1,17,11,,1110102000,111210121
2007,6,1,100.0,P,12,1,17,5,,1110102000,111210121
2007,7,1,100.0,P,12,1,17,6,,1110102000,111210121
2007,8,1,100.0,P,12,1,17,7,,1110102000,111210121
2007,9,1,100.0,P,12,1,17,10,,1110102000,111210121
2007,11,1,100.0,P,12,1,17,3,,1110102000,111210121
2007,10,1,100.0,P,12,1,17,8,,1110102000,111210121
2007,12,1,100.0,P,12,1,17,9,,1110102000,111210121
2007,230,1,100.0,P,17,5,1,15,,1110102000,111220100
2007,231,1,100.0,P,17,5,1,6,,1110102000,111220100
2007,13,1,100.0,P,11,4,3,3,,1110102000,111210121
2007,14,1,100.0,P,12,6,2,0,,1110102000,111210121
2007,98,1,100.0,P,12,2,3,0,,1110102000,111210121
2007,32,1,100.0,P,17,5,1,16,,1110102000,111220100
2007,97,1,100.0,P,33,1,0,0,,1110102000,111210121
2007,33,1,50.0,P,12,6,1,0,,1110102000,111210101
2007,33,2,10.0,E,,,,,71005,,111210111
2007,33,3,20.0,E,,,,,71006,,111210111
2007,33,4,5.0,E,,,,,71008,,111210111
2007,33,5,15.0,E,,,,,71007,,111210111
2007,34,1,100.0,P,12,6,1,0,,1110102000,111210101
2007,96,1,100.0,E,,,,,73018,,
2007,95,1,100.0,P,12,6,5,0,,1110102000,111210112
2007,90,1,100.0,E,,,,,71999,,111210122
2007,89,1,100.0,P,17,5,1,18,,1110102000,111220100
2007,94,1,100.0,P,33,1,0,0,,1110102000,111210121
2007,93,1,100.0,P,37,5,2,1,,1110102000,111210113
2007,15,1,100.0,P,12,2,10,3,,1110102000,111210123
2007,35,1,100.0,P,17,5,1,19,,1110102000,
2008,213,1,100.0,P,11,4,1,0,,1110112000,111210113
2008,1,1,100.0,E,,,,,73003,,111210121
2008,3,1,100.0,P,12,2,11,0,,1110112000,111210121
2008,214,1,100.0,P,11,4,3,1,,1110112000,111210114
2008,215,1,100.0,P,11,4,3,4,,1110112000,111210115
2008,216,1,100.0,P,16,2,3,0,,1110112000,111210121
2008,217,1,100.0,P,17,5,1,4,,1110112000,111220100
2008,218,1,100.0,P,11,4,3,2,,1110112000,111220400
2008,219,1,100.0,P,11,9,1,0,,1110112000,111210113
2008,220,1,100.0,P,14,1,1,0,,1110112000,111210121
2008,221,1,100.0,P,17,5,1,8,,1110112000,111220100
2008,222,1,100.0,P,17,5,1,5,,1110112000,111220100
2008,223,1,100.0,P,17,5,1,13,,1110112000,111220100
2008,225,1,100.0,P,12,9,3,0,,1110112000,111210121
2008,4,1,100.0,P,12,1,17,4,,1110112000,111210121
2008,226,1,100.0,P,17,2,1,1,,1110112000,111210121
2008,227,1,100.0,P,17,5,1,11,,1110112000,111220100
2008,228,1,100.0,P,17,5,1,12,,1110112000,111220100
2008,224,1,100.0,P,17,5,1,14,,1110112000,111220700
2008,229,1,100.0,P,17,5,1,10,,1110112000,111210121
2008,5,1,100.0,P,12,1,17,11,,1110112000,111210121
2008,6,1,100.0,P,12,1,17,5,,1110112000,111210121
2008,7,1,100.0,P,12,1,17,6,,1110112000,111210121
2008,8,1,100.0,P,12,1,17,7,,1110112000,111210121
2008,9,1,100.0,P,12,1,17,10,,1110112000,111210121
2008,11,1,100.0,P,12,1,17,3,,1110112000,111210121
