ANIO_PRESUP,JURISDICCION,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,EJECUTADO,ESTIMADO,PROGRAMADO,PROY1,PROY2,EXENCIONES,OTRAS,POLITICA_TRIB_1,POLITICA_TRIB_2,VAL_PROY_MODIF
2004,1110102000,11,4,3,1,0.0,30000.0,200000.0,,,,,0.0,0.0,N
2004,1110102000,11,4,3,4,0.0,0.0,50000.0,,,,,0.0,0.0,N
2004,1110102000,11,9,1,0,0.0,192000.0,198000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,1,1,0.0,582000.0,607000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,1,2,0.0,81000.0,95000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,2,0,0.0,500.0,500.0,,,,,0.0,0.0,N
2004,1110102000,12,1,4,0,0.0,8000.0,17000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,5,1,0.0,72000.0,77000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,5,2,0.0,59000.0,90000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,3,0,0.0,8000.0,12000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,6,0,0.0,30000.0,41000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,12,0,0.0,45000.0,55000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,11,0,0.0,16000.0,26000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,5,0,0.0,14000.0,22000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,10,1,0.0,0.0,1000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,9,0,0.0,263000.0,245000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,3,1,0.0,623000.0,178750.0,,,,,0.0,0.0,N
2004,1110102000,12,1,3,2,0.0,338000.0,595000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,8,0,0.0,46000.0,55000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,16,0,0.0,129000.0,165000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,14,0,0.0,500.0,500.0,,,,,0.0,0.0,N
2004,1110102000,12,1,17,2,0.0,14000.0,10000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,10,2,0.0,0.0,13000.0,,,,,0.0,0.0,N
2004,1110102000,12,2,10,3,0.0,0.0,11000.0,,,,,0.0,0.0,N
2004,1110102000,12,6,1,0,0.0,16000.0,14000.0,,,,,0.0,0.0,N
2004,1110102000,12,6,2,0,0.0,143000.0,337000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,18,0,0.0,3000.0,3000.0,,,,,0.0,0.0,N
2004,1110102000,16,2,3,0,0.0,22500.0,46000.0,,,,,0.0,0.0,N
2004,1110102000,17,5,1,1,0.0,90000.0,75000.0,,,,,0.0,0.0,N
2004,1110102000,14,1,1,0,0.0,20000.0,20000.0,,,,,0.0,0.0,N
2004,1110102000,12,9,3,0,0.0,14400.0,14400.0,,,,,0.0,0.0,N
2004,1110102000,12,1,15,0,0.0,7500.0,9000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,19,0,0.0,60000.0,60000.0,,,,,0.0,0.0,N
2004,1110102000,11,4,2,0,0.0,110000.0,110000.0,,,,,0.0,0.0,N
2004,1110102000,12,1,3,3,0.0,0.0,536250.0,,,,,0.0,0.0,N
2005,1110102000,11,4,1,0,300150.0,4653567.0,5291880.0,,,,,0.0,0.0,N
2005,1110102000,11,4,2,0,0.0,110000.0,110000.0,,,,,0.0,0.0,N
2005,1110102000,11,4,3,1,10000.0,200000.0,211000.0,,,,,0.0,0.0,N
2005,1110102000,11,4,3,2,0.0,208814.74,279000.0,,,,,0.0,0.0,N
2005,1110102000,11,4,3,4,0.0,50000.0,84000.0,,,,,0.0,0.0,N
2005,1110102000,11,9,1,0,0.0,198000.0,392000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,1,1,8170.0,607000.0,607000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,1,2,0.0,95000.0,109000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,3,2,70.0,595000.0,424000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,3,3,0.0,536250.0,639000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,3,4,0.0,55753.11,75000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,4,0,0.0,17000.0,11000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,5,1,650.0,77000.0,100000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,5,2,0.0,90000.0,91000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,6,0,1000.0,41000.0,54000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,9,0,0.0,245000.0,314000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,15,0,0.0,9000.0,7000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,16,0,0.0,165000.0,201000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,2,0.0,10000.0,22000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,18,0,0.0,3000.0,2000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,19,0,0.0,60000.0,60000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,1,0,482.0,6000.0,14000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,2,0,0.0,500.0,500.0,,,,,0.0,0.0,N
2005,1110102000,12,2,3,0,0.0,12000.0,14000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,8,0,0.0,55000.0,87000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,10,1,0.0,1000.0,1000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,10,2,0.0,13000.0,44000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,10,3,0.0,11000.0,5000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,11,0,500.0,26000.0,64000.0,,,,,0.0,0.0,N
2005,1110102000,12,2,12,0,0.0,55000.0,58000.0,,,,,0.0,0.0,N
2005,1110102000,12,6,1,0,395.0,13925.0,19000.0,,,,,0.0,0.0,N
2005,1110102000,12,6,2,0,502.5,337000.0,495000.0,,,,,0.0,0.0,N
2005,1110102000,12,9,2,0,0.0,27000.0,61000.0,,,,,0.0,0.0,N
2005,1110102000,12,9,3,0,0.0,14400.0,14400.0,,,,,0.0,0.0,N
2005,1110102000,16,2,3,0,0.0,46000.0,25000.0,,,,,0.0,0.0,N
2005,1110102000,17,5,1,1,0.0,75000.0,10000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,3,1,320.0,178750.0,213000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,3,0.0,0.0,9000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,4,0.0,0.0,6000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,11,0.0,0.0,6000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,5,0.0,0.0,8000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,7,0.0,0.0,10000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,8,0.0,0.0,3000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,9,0.0,0.0,3000.0,,,,,0.0,0.0,N
2005,1110102000,12,1,17,10,0.0,0.0,4000.0,,,,,0.0,0.0,N
2006,1110102000,11,4,1,0,5461011.11,5487922.0,7251200.0,,,,,0.0,0.0,N
2006,1110102000,11,4,2,0,118987.17,110000.0,131000.0,,,,,0.0,0.0,N
2006,1110102000,11,4,3,1,237066.58,316669.16,341928.91,,,,,0.0,0.0,N
2006,1110102000,11,4,3,2,326022.26,279000.0,300000.0,,,,,0.0,0.0,N
2006,1110102000,11,4,3,4,91810.16,147797.38,182141.33,,,,,0.0,0.0,N
2006,1110102000,11,9,1,0,414291.0,392000.0,395000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,1,1,655136.68,607000.0,658000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,2,0,60.0,500.0,500.0,,,,,0.0,0.0,N
2006,1110102000,12,1,3,2,378356.96,424000.0,229000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,3,3,605611.85,639000.0,684000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,3,4,59666.4,75000.0,145000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,4,0,13765.0,11000.0,50000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,5,2,85256.14,91000.0,63000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,9,0,288132.29,314000.0,298000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,14,0,558.0,500.0,1000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,15,0,7536.75,7000.0,5000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,16,0,218512.5,201000.0,110000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,1,172039.09,0.0,225000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,3,0.0,9000.0,9000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,4,0.0,6000.0,6000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,5,0.0,8000.0,10000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,6,0.0,7000.0,10000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,7,0.0,10000.0,18000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,8,0.0,3000.0,1000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,10,0.0,4000.0,9000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,17,11,0.0,6000.0,3000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,18,0,1964.0,2000.0,6000.0,,,,,0.0,0.0,N
2006,1110102000,12,1,19,0,0.0,60000.0,60000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,3,0,10494.56,14000.0,7000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,5,0,26063.75,32000.0,17000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,8,0,79610.18,87000.0,94000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,10,3,3094.13,5000.0,6000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,11,0,55167.88,64000.0,124000.0,,,,,0.0,0.0,N
2006,1110102000,12,2,12,0,56670.25,58000.0,58000.0,,,,,0.0,0.0,N
2006,1110102000,12,6,1,0,13889.53,19000.0,4000.0,,,,,0.0,0.0,N
2006,1110102000,12,6,2,0,493920.23,495000.0,481000.0,,,,,0.0,0.0,N
2006,1110102000,12,9,2,0,58444.63,61000.0,108000.0,,,,,0.0,0.0,N
2006,1110102000,14,1,1,0,30890.0,20000.0,20000.0,,,,,0.0,0.0,N
2006,1110102000,16,2,3,0,32241.16,25000.0,50000.0,,,,,0.0,0.0,N
2006,1110102000,12,6,3,0,8277.76,0.0,25000.0,,,,,0.0,0.0,N
2006,1110102000,17,5,1,14,22720.0,68160.0,136320.0,,,,,0.0,0.0,N
2007,1110102000,11,4,1,0,5461011.11,7251200.0,8474291.7,,,,,0.0,0.0,N
2007,1110102000,11,4,2,0,118987.17,131000.0,204000.0,,,,,0.0,0.0,N
2007,1110102000,11,4,3,1,237066.58,341928.91,341928.91,,,,,0.0,0.0,N
2007,1110102000,11,4,3,2,326022.26,300000.0,300000.0,,,,,0.0,0.0,N
2007,1110102000,11,4,3,4,91810.16,182141.33,182141.33,,,,,0.0,0.0,N
2007,1110102000,11,9,1,0,414291.0,395000.0,395000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,1,1,655136.68,658000.0,680000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,1,2,115338.93,129000.0,770000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,2,0,60.0,500.0,500.0,,,,,0.0,0.0,N
2007,1110102000,12,1,3,1,202234.45,237000.0,229000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,3,2,378356.96,229000.0,535000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,4,0,13765.0,50000.0,12500.0,,,,,0.0,0.0,N
2007,1110102000,12,1,5,1,89540.66,113000.0,142000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,5,2,85256.14,63000.0,301000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,6,0,52896.55,60000.0,55000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,9,0,288132.29,298000.0,327000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,14,0,558.0,1000.0,1000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,15,0,7536.75,5000.0,9000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,16,0,218512.5,110000.0,310000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,1,172039.09,225000.0,10000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,2,22912.79,22000.0,65000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,3,0.0,9000.0,8000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,4,0.0,6000.0,5000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,5,0.0,10000.0,10000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,6,0.0,10000.0,10000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,7,0.0,18000.0,11000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,8,0.0,3000.0,1000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,9,0.0,3000.0,1000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,10,0.0,9000.0,8000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,17,11,0.0,3000.0,3000.0,,,,,0.0,0.0,N
2007,1110102000,12,1,19,0,0.0,60000.0,60000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,1,0,10572.55,1000.0,30000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,2,0,0.0,500.0,500.0,,,,,0.0,0.0,N
2007,1110102000,12,2,5,0,26063.75,17000.0,30000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,8,0,79610.18,94000.0,134000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,10,1,614.61,1000.0,1000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,10,2,41563.28,40000.0,89000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,10,3,3094.13,6000.0,8000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,11,0,55167.88,124000.0,56000.0,,,,,0.0,0.0,N
2007,1110102000,12,2,12,0,56670.25,58000.0,80000.0,,,,,0.0,0.0,N
2007,1110102000,12,6,1,0,13889.53,4000.0,6500.0,,,,,0.0,0.0,N
2007,1110102000,12,6,2,0,493920.23,481000.0,60000.0,,,,,0.0,0.0,N
2007,1110102000,12,9,2,0,58444.63,108000.0,59000.0,,,,,0.0,0.0,N
2007,1110102000,12,9,3,0,68137.15,14400.0,14400.0,,,,,0.0,0.0,N
2007,1110102000,14,1,1,0,30890.0,20000.0,20000.0,,,,,0.0,0.0,N
2007,1110102000,16,2,3,0,32241.16,50000.0,54000.0,,,,,0.0,0.0,N
2007,1110102000,12,6,3,0,8277.76,25000.0,27000.0,,,,,0.0,0.0,N
2008,1110112000,11,4,1,0,5461011.11,7251200.0,10645590.0,,,,,0.0,0.0,N
2008,1110112000,11,4,2,0,118987.17,131000.0,236000.0,,,,,0.0,0.0,N
2008,1110112000,11,4,3,1,237066.58,341928.91,396551.0,,,,,0.0,0.0,N
