EJERCICIO,NRO_COTI,NRO_PED,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC_RES,NRO_DOC_RES,ANIO_DOC_RES,TIPO_CONT,NRO_CONT,ANIO_CONT,FECH_APERT,HORA_APERT,FECH_EMI_COMP,PLAZO_ENT,DESC_PLAZO_ENT,COD_LUG_ENT,MANT_OFERTA,DESC_MANT_OFERTA,COND_PAGO,DESC_COND_PAGO,OBSERVACIONES,ESTADO,COSTO_TOTAL,NRO_LLAMADO,CARGA_NOMINA,FECH_PED,CERRADA
2026,907,831,1,1000,EXPED,674,2026,CONC,2,2026,2026-03-18 00:00:00,10:00,,000000,,2,000100,,CTACTE,,CONCURSO DE PRECIOS 2026-  SOLUCIONES PARA LA FARMACIA DEL HOSPITAL,N,38425000.0,1,,2026-03-09 09:39:12,N
2026,886,788,1,942,EXPED,461,2026,CONC,1,2026,2026-03-17 00:00:00,10:00,,000000,,3,000100,,0006,,,N,39840000.0,1,,2026-03-06 08:36:12,N
2026,1023,1039,1,1075,EXPED,683,2026,CONC,3,2026,2026-03-25 00:00:00,10:00,,000000,,SECOP,000100,,000010,,Corresponde Expte N° 683 / 2026 Concurso de precios N° 3/2026 - Compra Utilitario,N,38100000.0,1,,2026-03-12 11:08:19,N
