EJERCICIO,NRO_REG_COMP,FECH_REG_COMP,LUG_EMI,JURISDICCION,CODIGO_UE,COD_PROV,TIPO_REGIS,NRO_ORIG,CODIGO_FF,UNI_COMPRA,NRO_OC,DELEG_SOLIC,NRO_SOLIC,TIPO_DOC,NRO_DOC,ANIO_DOC,IMPORTE_TOT,ESTADO_REG_COMP,CONFIRMADO,FECH_CONFIRM,FECH_ANUL,MOTIVO_ANUL,CANT_IMPRES,CONCEPTO,FECH_RELOJ,DEUDA,DEPENDENCIA,INSISTIDO,RC_DIFERIDO,EJERCICIO_ANT,NRO_REG_COMP_ANT,RC_EJERCICIO_ANT
2026,1763,2026-03-06 00:00:00,GMADA,1110108000,14,789,R,1763,110,,,,,,,,1478887.92,D,S,2026-03-06 00:00:00,,,1,gtos 12-25,2026-03-06 00:00:00,N,SECPRO,2026-03-06 00:00:00,N,2026,,N
2026,1856,2026-03-11 00:00:00,GMADA,1110106000,7,1603,R,1856,132,1,961,1,1007,,,,132000.0,N,S,2026-03-11 00:00:00,,,1,pan,2026-03-11 00:00:00,N,ACCSOC,2026-03-11 00:00:00,N,2026,,N
2026,2016,2026-03-16 00:00:00,GMADA,1110102000,2,50036,A,1988,110,,,,,,,,-122860.0,N,S,2026-03-13 00:00:00,2026-03-16 00:00:00,ERROR,3,fact,2026-03-16 00:00:00,N,ADFIN,,N,2026,,N
2026,1866,2026-03-11 00:00:00,GMADA,1110106000,7,3287,R,1866,132,1,959,1,992,,,,22869.0,D,S,2026-03-11 00:00:00,,,1,impresiones,2026-03-11 00:00:00,N,ENV,2026-03-11 00:00:00,N,2026,,N
2026,1868,2026-03-11 00:00:00,GMADA,1110106000,7,3296,R,1868,110,1,960,1,990,,,,57112.0,D,S,2026-03-11 00:00:00,,,1,arts de pint,2026-03-11 00:00:00,N,GRAN,2026-03-11 00:00:00,N,2026,,N
2026,1870,2026-03-11 00:00:00,GMADA,1110106000,7,1603,R,1870,132,1,942,1,1006,,,,64800.0,N,S,2026-03-11 00:00:00,,,1,pan,2026-03-11 00:00:00,N,ENV,2026-03-11 00:00:00,N,2026,,N
2026,1871,2026-03-11 00:00:00,GMADA,1110109000,13,3529,R,1871,110,1,982,1,1055,,,,140000.0,N,S,2026-03-11 00:00:00,,,1,alq de baño,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1874,2026-03-11 00:00:00,GMADA,1110104000,5,3184,R,1874,131,1,975,1,1039,,,,473237.9,N,S,2026-03-11 00:00:00,,,1,medicamentos,2026-03-11 00:00:00,N,FARM,2026-03-11 00:00:00,N,2026,,N
2026,1875,2026-03-11 00:00:00,GMADA,1110109000,13,1578,R,1875,110,1,977,1,1040,,,,140000.0,D,S,2026-03-11 00:00:00,,,1,sillas,2026-03-11 00:00:00,N,DEP,2026-03-11 00:00:00,N,2026,,N
2026,1876,2026-03-11 00:00:00,GMADA,1110104000,5,167,R,1876,131,1,979,1,1015,,,,776750.0,N,S,2026-03-11 00:00:00,,,1,pollo,2026-03-11 00:00:00,N,HOGANC,2026-03-11 00:00:00,N,2026,,N
