EJERCICIO,NRO_REGUL,NRO_RENG,JURISDICCION,TIPO,CLASE,CONCEPTO,SUBCONCEPTO,IMPORTE,OBSERVACIONES
2003,10,0,1110101000,12,1,1,1,-1500.0,
2003,10,1,1110101000,12,1,3,1,1500.0,
2003,11,0,1110101000,12,1,1,1,-200.0,
2003,11,1,1110101000,12,1,1,2,200.0,
2004,56,0,1110102000,12,1,1,2,-358.51,
2004,56,1,1110102000,12,1,1,2,358.51,
2012,327,0,1110112000,12,6,1,0,-140753.49,
2012,327,1,1110112000,12,6,9,0,140753.49,
