EJERCICIO,NRO_COTI,COD_PROV,FECH_EMI_COTI,NRO_CERTIF,NRO_LLAMADO,ESTADO
2026,803,2869,2026-02-26 00:00:00,,1,N
2026,804,2216,2026-02-26 00:00:00,,1,N
2026,805,879,2026-02-26 00:00:00,,1,N
2026,806,3177,2026-02-26 00:00:00,,1,N
2026,808,2299,2026-02-26 00:00:00,,1,N
2026,809,163,2026-02-26 00:00:00,,1,N
2026,811,3287,2026-02-26 00:00:00,,1,N
2026,813,3297,2026-02-26 00:00:00,,1,N
2026,815,3322,2026-02-26 00:00:00,,1,N
2026,816,3075,2026-02-26 00:00:00,,1,N
2026,817,1078,2026-02-26 00:00:00,,1,N
2026,819,612,2026-02-26 00:00:00,,1,N
2026,823,160,2026-02-26 00:00:00,,1,N
2026,824,171,2026-02-26 00:00:00,,1,N
2026,827,1876,2026-02-26 00:00:00,,1,N
2026,832,3561,2026-02-26 00:00:00,,1,N
2026,835,2708,2026-02-27 00:00:00,,1,N
2026,836,441,2026-02-27 00:00:00,,1,N
2026,837,3220,2026-02-27 00:00:00,,1,N
2026,838,3529,2026-02-27 00:00:00,,1,N
2026,839,441,2026-02-27 00:00:00,,1,N
2026,840,3220,2026-02-27 00:00:00,,1,N
2026,841,2330,2026-02-27 00:00:00,,1,N
2026,842,360,2026-02-27 00:00:00,,1,N
2026,843,2209,2026-02-27 00:00:00,,1,N
2026,850,3534,2026-03-03 00:00:00,,1,N
2026,851,3296,2026-03-03 00:00:00,,1,N
2026,853,866,2026-03-03 00:00:00,,1,N
2026,854,2408,2026-03-03 00:00:00,,1,N
2026,855,57,2026-03-03 00:00:00,,1,N
2026,869,2869,2026-03-04 00:00:00,,1,N
2026,871,167,2026-03-04 00:00:00,,1,N
2026,872,2869,2026-03-04 00:00:00,,1,N
2026,876,1468,2026-03-05 00:00:00,,1,N
2026,877,3180,2026-03-05 00:00:00,,1,N
2026,878,517,2026-03-05 00:00:00,,1,N
2026,879,300,2026-03-05 00:00:00,,1,N
2026,880,2627,2026-03-05 00:00:00,,1,N
2026,881,688,2026-03-05 00:00:00,,1,N
2026,882,2627,2026-03-05 00:00:00,,1,N
2026,883,3492,2026-03-05 00:00:00,,1,N
2026,884,3218,2026-03-05 00:00:00,,1,N
2026,885,3540,2026-03-05 00:00:00,,1,N
2026,886,413,2026-03-10 00:00:00,2259,1,N
2026,886,791,2026-03-06 00:00:00,2260,1,N
2026,886,3172,2026-03-06 00:00:00,2261,1,N
2026,886,3238,2026-03-06 00:00:00,2262,1,N
2026,886,3541,2026-03-06 00:00:00,2263,1,N
2026,888,120,2026-03-06 00:00:00,,1,N
2026,903,3322,2026-03-09 00:00:00,,1,N
2026,905,850,2026-03-09 00:00:00,,1,N
2026,906,866,2026-03-09 00:00:00,,1,N
2026,907,866,2026-03-09 00:00:00,2265,1,N
2026,907,2744,2026-03-09 00:00:00,2268,1,N
2026,907,89,2026-03-09 00:00:00,2264,1,N
2026,907,1440,2026-03-09 00:00:00,2266,1,N
2026,907,2663,2026-03-09 00:00:00,2267,1,N
2026,909,2883,2026-03-09 00:00:00,,1,N
2026,910,441,2026-03-09 00:00:00,,1,N
2026,911,171,2026-03-09 00:00:00,,1,N
